name,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,text,,,,,,,,,,,,,,
Mass Effect 2: Lair of the Shadow Broker,"Liara T'Soni is tracking down the mysterious Shadow Broker, and no one is safe. She'll do anything to recover the man the Broker kidnapped - and the Shadow Broker's agents will do anything to stop her.",1,1,0,0,0,0,0,1,0,"Mass Effect 2: Lair of the Shadow Broker. Liara T'Soni is tracking down the mysterious Shadow Broker, and no one is safe. She'll do anything to recover the man the Broker kidnapped - and the Shadow Broker's agents will do anything to stop her.",,,,,,,,,,,,,,
Devil Kings,"Known in Japan as ""Sengoku Basara"", takes place during the Warring States Era, which Japan was split into many minor states battling over power and land.",1,1,0,0,0,1,0,0,0,"Devil Kings. Known in Japan as ""Sengoku Basara"", takes place during the Warring States Era, which Japan was split into many minor states battling over power and land.",,,,,,,,,,,,,,
Crash Bandicoot: On the Run!,"Dr. Neo Cortex has dispatched iconic villains across the multiverse to take control of all dimensions. With the help of his sister Coco, Crash must bash Cortex's minions back to their own dimensions.",1,0,0,0,1,0,0,0,0,"Crash Bandicoot: On the Run!. Dr. Neo Cortex has dispatched iconic villains across the multiverse to take control of all dimensions. With the help of his sister Coco, Crash must bash Cortex's minions back to their own dimensions.",,,,,,,,,,,,,,
Bookworm,"Word-making game in which you must use lettered blocks to make a chain, forming a word. The bigger the word, the more points you get.",0,0,0,0,1,0,0,0,0,"Bookworm. Word-making game in which you must use lettered blocks to make a chain, forming a word. The bigger the word, the more points you get.",,,,,,,,,,,,,,
Spectacular Sparky,"A throwback to the golden age of white-gloved 16-bit video-game mascots, Spectacular Sparky is an action-packed platformer with wacky characters, explosive weapons and boss battles to treasure.",1,1,1,0,0,0,0,0,0,"Spectacular Sparky. A throwback to the golden age of white-gloved 16-bit video-game mascots, Spectacular Sparky is an action-packed platformer with wacky characters, explosive weapons and boss battles to treasure.",,,,,,,,,,,,,,
Marvel vs. Capcom 3: Fate of Two Worlds,Doctor Doom has assembled the greatest villains of the Marvel Universe and has joined forces with Albert Wesker in order to unite their respective universes in an effort to conquer both.,1,0,0,0,0,1,0,1,0,Marvel vs. Capcom 3: Fate of Two Worlds. Doctor Doom has assembled the greatest villains of the Marvel Universe and has joined forces with Albert Wesker in order to unite their respective universes in an effort to conquer both.,,,,,,,,,,,,,,
Megamind: Mega Team Unite,Help Megamind and his Mega Squad take down the Doom Syndicate.,1,1,1,0,0,0,0,0,0,Megamind: Mega Team Unite. Help Megamind and his Mega Squad take down the Doom Syndicate.,,,,,,,,,,,,,,
Attack on Titan,"The game retells key moments from the first season of the Attack on Titan anime, in addition to new scenarios involving the key characters.",1,1,0,0,0,1,0,0,0,"Attack on Titan. The game retells key moments from the first season of the Attack on Titan anime, in addition to new scenarios involving the key characters.",,,,,,,,,,,,,,
Superman: The Game,"Superman: The Game is a game of nail-biting strategy and stunning action. The game' setting in Metropolis, where Darkseid's reign of terror has begun. Darkseid seeks to capture the citizens... See full summary »",1,1,0,0,0,0,0,1,0,"Superman: The Game. Superman: The Game is a game of nail-biting strategy and stunning action. The game' setting in Metropolis, where Darkseid's reign of terror has begun. Darkseid seeks to capture the citizens... See full summary »",,,,,,,,,,,,,,
Spider-Man,"The amazing Spider-Man is in serious trouble, The Kingpin has vowed to destroy New York and he's assembled a vast army of villains to help him, Now It's up to Spider-Man to stop him for good.",1,1,0,0,0,1,0,0,0,"Spider-Man. The amazing Spider-Man is in serious trouble, The Kingpin has vowed to destroy New York and he's assembled a vast army of villains to help him, Now It's up to Spider-Man to stop him for good.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
